Date & Time,WashingMachine [kW],Dryer [kW],temperature,icon,humidity,visibility,summary,apparentTemperature,pressure,windSpeed,cloudCover,time,windBearing,precipIntensity,dewPoint,precipProbability
2015-01-01 00:00:00,0.000056111,0.000147778,13.3,clear-night,0.74,9.89,Clear,2.73,1018.62,7.24,0,1420088400,206,0,6.52,0
2015-01-01 01:00:00,0.000346111,0.00022,15.41,clear-night,0.71,10,Clear,7.05,1017.65,5.47,0.22,1420092000,199,0,7.74,0
2015-01-01 02:00:00,0.001641111,0.000447222,16.93,clear-night,0.67,9.97,Clear,8.77,1017.18,5.53,0.18,1420095600,204,0,7.77,0
2015-01-01 03:00:00,0.001618333,0.000451667,19.04,clear-night,0.57,9.97,Clear,10.78,1016.63,6.02,0.21,1420099200,253,0,6.42,0
2015-01-01 04:00:00,0.001403889,0.000408889,18.32,clear-night,0.55,9.94,Clear,9.85,1016.33,6.09,0.05,1420102800,255,0,4.84,0
2015-01-01 05:00:00,0.000764444,0.000284444,18.64,clear-night,0.54,9.94,Clear,9.04,1016.72,7.41,0.06,1420106400,243,0,4.65,0
2015-01-01 06:00:00,0.000151667,0.000173333,18.14,clear-night,0.55,9.97,Clear,9.53,1017.23,6.2,0.03,1420110000,249,0,4.62,0
2015-01-01 07:00:00,0.000155556,0.000195556,18.36,clear-night,0.54,9.98,Clear,10.29,1017.35,5.7,0.22,1420113600,258,0,4.69,0
2015-01-01 08:00:00,0.000155,0.000202222,19.31,clear-day,0.54,10,Clear,14.68,1017.67,3.17,0.05,1420117200,266,0,5.31,0
2015-01-01 09:00:00,0.000382778,0.000213889,22.3,clear-day,0.48,10,Clear,22.3,1017.64,2.76,0.16,1420120800,269,0,5.48,0
2015-01-01 10:00:00,0.000127222,0.000183333,24.7,clear-day,0.45,10,Clear,15.7,1017.5,8.37,0.22,1420124400,230,0,6.4,0
2015-01-01 11:00:00,0.000089444,0.00017,26.34,clear-day,0.42,10,Clear,16.24,1016.61,10.86,0.14,1420128000,233,0,6.31,0
2015-01-01 12:00:00,0.000063333,0.000167778,27.33,clear-day,0.4,10,Clear,16.65,1015.59,12.55,0.06,1420131600,226,0,6.34,0
2015-01-01 13:00:00,0.000031667,0.000158889,28.32,clear-day,0.39,10,Clear,17.69,1014.22,13.02,0.07,1420135200,216,0,6.62,0
2015-01-01 14:00:00,0.000002778,0.000124444,29.38,clear-day,0.36,10,Clear,20.62,1012.88,9.74,0.02,1420138800,202,0,5.87,0
2015-01-01 15:00:00,0.000023333,0.000126667,29.45,clear-day,0.36,10,Clear,20.84,1012.52,9.5,0.03,1420142400,202,0,5.64,0
2015-01-01 16:00:00,0.000005556,0.000117222,28.88,clear-day,0.37,10,Clear,19.5,1012.3,10.7,0.23,1420146000,203,0,5.89,0
2015-01-01 17:00:00,0.00024,0.000179444,27.56,clear-night,0.4,10,Clear,19.72,1012.28,7.58,0.02,1420149600,199,0,6.34,0
2015-01-01 18:00:00,0.000163889,0.000186111,24.31,clear-night,0.5,10,Clear,16.73,1012.29,6.38,0.05,1420153200,193,0,8.5,0
2015-01-01 19:00:00,0.000220556,0.000198333,24.13,clear-night,0.51,10,Clear,16.41,1012.44,6.51,0.24,1420156800,198,0,8.8,0
2015-01-01 20:00:00,0.000252222,0.000207222,22.83,clear-night,0.56,10,Clear,15.71,1012.36,5.57,0.02,1420160400,209,0,9.41,0
2015-01-01 21:00:00,0.000346111,0.000218333,23.14,clear-night,0.56,10,Clear,23.14,1012.37,2.47,0.02,1420164000,180,0,9.9,0
