date&time,AC,Furnace,temp,hum,at,pressure,ws,dew
2014-01-01 0:00,0.000057778,0.009531111,20.31,0.47,7.74,1023.25,12.65,3.3
2014-01-01 1:00,0.001846667,0.417988889,19.22,0.48,7.89,1023.21,9.99,2.69
2014-01-01 2:00,0.00003,0.017152222,18.1,0.52,8.11,1024.25,7.76,3.42
2014-01-01 3:00,0.001857778,0.420358333,17.47,0.55,7.36,1025.02,7.73,4
2014-01-01 4:00,0.000055556,0.009462222,15.63,0.61,6.98,1025.16,5.76,4.45
2014-01-01 5:00,0.00186,0.421543889,15.33,0.63,6.21,1025.48,6.16,4.87
2014-01-01 6:00,0.000072778,0.009492222,15.33,0.65,6.09,1026.24,6.28,5.68
2014-01-01 7:00,0.000111667,0.009932222,15.6,0.65,6.73,1026.76,5.97,5.86
2014-01-01 8:00,0.002432222,0.413423333,15.31,0.67,6.4,1027.55,5.96,6.25
2014-01-01 9:00,0.000076111,0.009917778,18.8,0.63,10.31,1028.36,6.21,8.19
2014-01-01 10:00,0.000146667,0.009965556,21.66,0.55,12.42,1028.69,7.78,7.98
2014-01-01 11:00,0.000150556,0.009651111,23.04,0.5,13.6,1028.27,8.47,7.02
2014-01-01 12:00,0.000036111,0.009598333,24.38,0.46,14.24,1027.57,10.08,6.52
2014-01-01 13:00,0.000273333,0.01878,25.84,0.42,16.11,1027.16,9.96,5.81
2014-01-01 14:00,0.001147222,0.196279444,25.75,0.41,16.75,1027.18,8.72,5.13
2014-01-01 15:00,0.000134444,0.034351111,26.21,0.4,18.73,1027.19,6.73,5.28
2014-01-01 16:00,0.000852778,0.195528889,25.76,0.41,18.59,1027.57,6.24,5.12
2014-01-01 17:00,0.001336667,0.170971667,23.81,0.45,17.75,1027.58,4.72,5.68
2014-01-01 18:00,0.000827222,0.098267778,22.13,0.54,17.3,1027.85,3.55,8.01
2014-01-01 19:00,0.002006111,0.42421,20.91,0.57,20.91,1028.12,2.07,8.23
2014-01-01 20:00,0.001198333,0.291966111,20.77,0.61,20.77,1028.42,1.96,9.36
2014-01-01 21:00,0.001038333,0.202151667,20.49,0.66,20.49,1028.4,2.09,10.84
2014-01-01 22:00,0.000018333,0.023201667,20.41,0.7,20.41,1028.29,2.4,12.32
2014-01-01 23:00,0.001071111,0.263647222,20.41,0.72,13.86,1028.08,4.66,12.85
2014-01-02 0:00,0.000475,0.133571111,19.92,0.76,12.42,1027.47,5.43,13.55
2014-01-02 1:00,0.001043889,0.259631667,18.73,0.86,13,1026.75,3.82,15.18
2014-01-02 2:00,0.000086667,0.050513889,18.54,0.87,12.4,1026.57,4.09,15.22
2014-01-02 3:00,0.001191111,0.287573333,18.19,0.87,11.18,1026.35,4.73,15
2014-01-02 4:00,0.000501667,0.141172778,17.72,0.87,9.59,1025.67,5.65,14.55
2014-01-02 5:00,0.001347778,0.31251,17.29,0.86,8.99,1025.32,5.72,13.77
2014-01-02 6:00,0.001220556,0.289861111,16.72,0.85,6.19,1024.84,8.06,13.03
2014-01-02 7:00,0.001362222,0.343533889,16.27,0.83,5.26,1024.74,8.55,11.92
2014-01-02 8:00,0.000680556,0.154547778,15.53,0.83,3.73,1024.57,9.39,11.2
2014-01-02 9:00,0.001076667,0.281000556,14.93,0.82,1.99,1024.28,10.89,10.33
2014-01-02 10:00,0.000217778,0.009650556,14.85,0.81,2.05,1023.56,10.64,10.08
2014-01-02 11:00,0.001676111,0.348375,14.16,0.81,1.61,1022.04,10.02,9.56
2014-01-02 12:00,0.001119444,0.260779444,13.97,0.78,1.13,1020.18,10.37,8.5
2014-01-02 13:00,0.000085,0.009719444,13.52,0.79,1.72,1018.67,8.77,8.26
2014-01-02 14:00,0.000061667,0.009748333,13.19,0.79,-0.31,1017.92,11.09,7.99
2014-01-02 15:00,0.000115,0.009802778,13.02,0.77,-0.72,1016.38,11.39,7.25
