Dryer,temp,hum,dayOfWeeks
0.005231111,16.67,0.53,3
0.005293333,16.19,0.52,3
0.005367778,15.69,0.55,3
0.005527222,15.29,0.58,3
0.00563,15.37,0.6,3
0.005788333,14.81,0.65,3
0.005817222,14.4,0.66,3
0.005726667,13.79,0.67,3
0.006021667,14.5,0.69,3
0.005801667,17.05,0.7,3
0.006228333,18.29,0.65,3
0.008561667,19.68,0.57,3
0.005875,20.82,0.54,3
0.005973889,21.61,0.52,3
0.005960556,21.63,0.51,3
0.006312222,21.74,0.52,3
0.00633,21.52,0.53,3
0.006188333,19.73,0.57,3
0.006675556,17.26,0.66,3
0.007384444,16.5,0.69,3
0.006580556,17.39,0.68,3
0.005892222,16.34,0.74,3
0.005583889,17.25,0.72,3
0.005435,17.04,0.74,3
0.005341111,15.97,0.79,4
0.005227778,15.55,0.83,4
0.005095,14.8,0.83,4
0.005108889,14.51,0.86,4
0.005087778,14.09,0.84,4
0.004937222,12.14,0.83,4
0.004712778,10.08,0.84,4
0.00456,9.23,0.84,4
0.005002222,8.98,0.82,4
0.005497778,8.29,0.82,4
0.004959444,11,0.78,4
0.005723333,11.31,0.79,4
0.005846111,11.84,0.75,4
0.005497222,11.36,0.72,4
0.007362778,10.56,0.72,4
0.005688333,9.83,0.79,4
0.005756667,9.49,0.75,4
0.006050556,8.84,0.78,4
0.006871111,8.59,0.77,4
0.005903333,7.71,0.75,4
0.0067,6.91,0.75,4
0.00686,6.42,0.7,4
0.005895556,5.34,0.73,4
0.006123889,5.17,0.73,4
0.006228333,-0.25,0.78,5
0.00611,-1.06,0.77,5
0.006149444,-2.1,0.77,5
0.006282778,-2.51,0.78,5
0.006516667,-3.49,0.82,5
0.006575556,-2.94,0.75,5
0.005991111,-3.66,0.77,5
0.005837222,-3.75,0.77,5
0.006588333,-3.76,0.72,5
0.006383333,-3.59,0.7,5
0.005881667,-2.63,0.66,5
0.006157222,-0.45,0.59,5
0.005685556,0.13,0.58,5
0.006036111,1.62,0.55,5
0.006017222,2.67,0.53,5
0.005759444,3.05,0.53,5
0.006192222,2.01,0.55,5
0.005803333,-0.07,0.61,5
0.007280556,-1.64,0.66,5
0.007725,-3.64,0.67,5
0.007482778,-6.45,0.74,5
0.006565,-9.13,0.78,5
0.006417222,-10.68,0.76,5
0.006185,-12.26,0.77,5
0.006524444,-11.59,0.77,6
0.006510556,-12.32,0.76,6
0.006581111,-13.55,0.77,6
0.006592222,-13.72,0.77,6
0.000536111,-13.38,0.75,6
0.006525,-10.83,0.77,6
0.006848889,-9.19,0.77,6
0.006960556,-8.91,0.8,6
0.007827778,-6.53,0.76,6
0.007909444,-2.71,0.75,6
0.009333889,2.69,0.67,6
0.008248333,10.08,0.48,6
0.007180556,15.32,0.41,6
0.006691111,19.07,0.35,6
0.007048333,21.65,0.34,6
0.007041111,22.72,0.34,6
0.007753889,20.55,0.44,6
0.008181111,16.81,0.52,6
0.007552778,14.52,0.59,6
